12,Bro/Heli,365,SC- Pick #5
12,Bro/Heli,394,LLWS- Pick #14
12,Bro/Heli,417,M Ten- Cilic
12,Bro/Heli,455,W Ten- Sharapova
12,Bro/Heli,478,MLB- NY Mets
12,Bro/Heli,196,_Any- RIT
12,Bro/Heli,258,_Any- Philly Flyers
12,Bro/Heli,295,_Any- Atlanta Hawks
12,Bro/Heli,292,Any- Detroit Pistons
12,Bro/Heli,425,_Any- Richard Gasquet
12,Bro/Heli,462,_Any- Sara Errani
13,Jake,49,CFB- Utah
13,Jake,58,NFL- Green Bay
13,Jake,150,CBB- Wichita St
13,Jake,170,CHK- Harvard
13,Jake,213,KD- Pick #8
13,Jake,224,CL- Arsenal
13,Jake,283,NHL- LA Kings
13,Jake,312,NBA- OKC Thunder
13,Jake,349,PGA- Rickie Fowler
13,Jake,372,SC- Pick #12
13,Jake,392,LLWS- Pick #12
13,Jake,428,M Ten- Wawrinka
13,Jake,458,W Ten- Kvitova
13,Jake,257,MLB- Texas Rangers
13,Jake,151,Any- Wisconsin CBB
13,Jake,293,Any- Indiana Pacers
13,Jake,334,Any- Jim Furyk
13,Jake,345,Any- Matt Kuchar
14,Zach,32,CFB- Notre Dame
14,Zach,55,NFL- Philadelphia
14,Zach,111,CBB- Kentucky
14,Zach,175,CHK- UMass-Lowell
14,Zach,371,KD- Pick #11
14,Zach,227,CL- Barcelona
14,Zach,282,NHL- Dallas
14,Zach,308,NBA- NO Pelicans
14,Zach,326,PGA- Dustin Johnson
14,Zach,370,SC- Pick #10
14,Zach,390,LLWS- Pick #10
14,Zach,400,M Ten- David Ferrer
14,Zach,464,W Ten- Simona Halep
14,Zach,499,MLB- Toronto Blue Jays
14,Zach,57,Any- Redskins
14,Zach,91,Any- Cal CBB
14,Zach,132,Any- Purdue CBB
14,Zach,406,Any- Gilles Simon
14,Zach,357,Any- Tiger Woods
14,Zach,320,Any- Brandt Snedeker
15,Vondy/Clark,1,CFB- Alabama
15,Vondy/Clark,57,NFL- Washington Redskins
15,Vondy/Clark,128,CBB- Oklahoma
15,Vondy/Clark,186,CHK- North Dakota
15,Vondy/Clark,207,KD- Pick #2
15,Vondy/Clark,239,CL- Juventus
15,Vondy/Clark,273,NHL- Nashville
15,Vondy/Clark,306,NBA- Houston
15,Vondy/Clark,315,PGA- Adam Scott
15,Vondy/Clark,361,SC- Pick #1
15,Vondy/Clark,384,LLWS- Pick #4
15,Vondy/Clark,399,M Ten- Bernard Tomic
15,Vondy/Clark,458,W Ten- Kvitova
15,Vondy/Clark,491,MLB- KC Royals
15,Vondy/Clark,149,Any- West Virginia CBB
15,Vondy/Clark,178,Any- Michigan CHK
15,Vondy/Clark,292,_Any- Detroit Pistons
15,Vondy/Clark,216,Any- KD #11
15,Vondy/Clark,319,Any- Branden Grace
15,Vondy/Clark,485,_Any- Baltimore Orioles
16,Dan,10,CFB- Clemson
16,Dan,75,NFL- Steelers
16,Dan,146,CBB- Villanova
16,Dan,181,CHK- Minnesota-Duluth
16,Dan,218,KD- Pick #13
16,Dan,227,CL- Barcelona
16,Dan,270,NHL- Blackhawks
16,Dan,308,NBA- NO Pelicans
16,Dan,348,PGA- Phil
16,Dan,370,SC- Pick #10
16,Dan,383,LLWS- Pick #3
16,Dan,407,M Ten- Dimitrov
16,Dan,440,W Ten- Wozniacki
16,Dan,472,MLB- Cubs
16,Dan,132,Any- Purdue CBB
16,Dan,234,Any- CSKA Moscow
16,Dan,260,Any- Boston Bruins
16,Dan,373,Any- SC #13
16,Dan,359,Any- Webb Simpson
16,Dan,475,_Any- LA Dodgers
17,Evan,23,CFB- Michigan St
17,Evan,58,NFL- Green Bay
17,Evan,125,CBB- North Carolina
17,Evan,175,CHK- UMass-Lowell
17,Evan,211,KD- Pick #6
17,Evan,233,CL- Chelsea
17,Evan,268,NHL- Washington Caps
17,Evan,299,NBA- Wizards
17,Evan,342,PGA- Oosthuizen
17,Evan,376,SC- Pick #16
17,Evan,392,LLWS- Pick #12
17,Evan,410,M Ten- Tsonga
17,Evan,453,W Ten- Madison Keys
17,Evan,483,MLB- StL Cardinals
17,Evan,87,Any- Arizona CBB
17,Evan,321,Any- Brooks Koepka
17,Evan,500,_Any- Matt Fitzpatrick
17,Evan,501,Any- Elina Svitolina
17,Evan,489,Any- Detroit Tigers
18,Hughes,11,CFB- Florida
18,Hughes,82,NFL- Denver Broncos
18,Hughes,91,CBB- Cal
18,Hughes,166,CHK- Cornell
18,Hughes,206,KD- Pick #1
18,Hughes,253,CL- Wolfsburg
18,Hughes,278,NHL- Minnesota Wild
18,Hughes,300,NBA- Golden State
18,Hughes,325,PGA- Danny Willett
18,Hughes,362,SC- Pick #2
18,Hughes,381,LLWS- Pick #1
18,Hughes,424,M Ten- Nadal
18,Hughes,455,W Ten- Sharapova
18,Hughes,498,MLB- Texas Rangers
18,Hughes,187,Any- Northeastern
18,Hughes,256,Any- NY Islanders
18,Hughes,272,Any- Red Wings
18,Hughes,266,Any- Florida Panthers
18,Hughes,284,_Any- San Jose Sharks
18,Hughes,429,Any- Tomas Berdych
19,Erik/Gavin,23,CFB- Michigan
19,Erik/Gavin,64,NFL- Carolina
19,Erik/Gavin,118,CBB- Miami
19,Erik/Gavin,158,CHK- Boston College
19,Erik/Gavin,212,KD- Pick #7
19,Erik/Gavin,236,CL- Dynamo Kyiv
19,Erik/Gavin,274,NHL- StL Blues
19,Erik/Gavin,301,NBA- LA Clippers
19,Erik/Gavin,328,PGA- Henrik Stenson
19,Erik/Gavin,364,SC- Pick #4
19,Erik/Gavin,394,LLWS- Pick #14
19,Erik/Gavin,422,M Ten- Djokovic
19,Erik/Gavin,444,W Ten- Bouchard
19,Erik/Gavin,486,MLB- Boston
19,Erik/Gavin,71,Any- NY Jets
19,Erik/Gavin,365,Any- SC Pick #5
19,Erik/Gavin,371,Any- SC Pick #11
19,Erik/Gavin,427,Any- Federer
19,Erik/Gavin,496,_Any- Mariners
19,Erik/Gavin,487,_Any- White Sox
20,Murphy,42,CFB- TCU
20,Murphy,67,NFL- AZ Cardinals
20,Murphy,120,CBB- Michigan St
20,Murphy,168,CHK- Denver
20,Murphy,215,KD- Pick #10
20,Murphy,230,CL- Bayern Munich
20,Murphy,276,NHL- Colorado Avs
20,Murphy,293,NBA- Pacers
20,Murphy,349,PGA- Rickie Fowler
20,Murphy,366,SC- Pick #6
20,Murphy,393,LLWS- Pick #13
20,Murphy,414,M Ten- Kevin Anderson
20,Murphy,445,W Ten- Muguruza
20,Murphy,499,MLB- Toronto Blue Jays
20,Murphy,89,Any- Baylor CBB
20,Murphy,179,_Any- Michigan Tech CHK
20,Murphy,189,_Any- Notre Dame CHK
20,Murphy,502,_Any- David Goffin
20,Murphy,503,Any- Johanna Konta
21,Tim J,6,CFB- Baylor
21,Tim J,73,NFL- Buffalo Bills
21,Tim J,108,CBB- Iowa St
21,Tim J,177,CHK- Miami OH 
21,Tim J,210,KD- Pick #5
21,Tim J,226,CL- Atletico Madrid
21,Tim J,281,NHL- Coyotes
21,Tim J,309,NBA- Spurs
21,Tim J,333,PGA- Jason Day
21,Tim J,367,SC- Pick #7 
21,Tim J,382,LLWS- Pick #2
21,Tim J,406,M Ten- Gilles Simon
21,Tim J,469,W Ten- Azarenka
21,Tim J,494,MLB- NY Yankees
21,Tim J,90,_Any- Butler CBB
21,Tim J,151,Any- Wisconsin CBB
21,Tim J,194,_Any- Quinnipiac
21,Tim J,334,_Any- Jim Furyk
21,Tim J,391,Any- LLWS #11
21,Tim J,409,Any- John Isner
22,Tim/Mike,34,CFB- Oklahoma
22,Tim/Mike,85,NFL- KC Chiefs
22,Tim/Mike,111,CBB- Kentucky
22,Tim/Mike,180,CHK- Minnesota St
22,Tim/Mike,221,KD- Pick #16
22,Tim/Mike,242,CL- Man City
22,Tim/Mike,267,NHL- Lightning
22,Tim/Mike,307,NBA- Memphis
22,Tim/Mike,322,PGA- Bubba Watson
22,Tim/Mike,374,SC- Pick #14
22,Tim/Mike,389,LLWS- Pick #9
22,Tim/Mike,400,M Ten- Ferrer
22,Tim/Mike,467,W Ten- Bacsiszky
22,Tim/Mike,488,MLB- Cleveland Indians
22,Tim/Mike,78,Any- Houston Texans
22,Tim/Mike,129,Any- Oregon CBB
22,Tim/Mike,296,Any- Charlotte Hornets
22,Tim/Mike,329,Any-Hideki Matsuyama
22,Tim/Mike,437,Any- Kerber
22,Tim/Mike,495,Any- Oakland A's
23,Riss/Ehrman,49,CFB- Utah
23,Riss/Ehrman,70,NFL- New England
23,Riss/Ehrman,115,CBB- Maryland
23,Riss/Ehrman,205,CHK- Yale CHK
23,Riss/Ehrman,222,KD- Pick #17
23,Riss/Ehrman,231,CL- Benfica
23,Riss/Ehrman,259,NHL- Penguins
23,Riss/Ehrman,291,NBA- Cavs
23,Riss/Ehrman,357,PGA- Tiger Woods
23,Riss/Ehrman,369,SC- Pick #9
23,Riss/Ehrman,395,LLWS- Pick #15
23,Riss/Ehrman,413,M Ten- Nishikori
23,Riss/Ehrman,432,W Ten- Radwanska
23,Riss/Ehrman,478,MLB- NY Mets
23,Riss/Ehrman,41,Any- Stanford CFB
23,Riss/Ehrman,313,_Any- Portland
23,Riss/Ehrman,312,Any- OKC
23,Riss/Ehrman,283,_Any- LA Kings
23,Riss/Ehrman,484,Any- Nationals
23,Riss/Ehrman,476,Any- Marlins
24,Bailey,33,CFB- Ohio St
24,Bailey,68,NFL- Seahawks
24,Bailey,109,CBB- Kansas
24,Bailey,193,CHK- Providence
24,Bailey,214,KD- Pick #9
24,Bailey,248,CL- Real Madrid
24,Bailey,258,NHL- Flyers
24,Bailey,298,NBA- Orlando
24,Bailey,350,PGA- Rory
24,Bailey,372,SC- Pick #12
24,Bailey,385,LLWS- Pick #5
24,Bailey,425,M Ten- Gasquet
24,Bailey,452,W Ten- Safarova
24,Bailey,480,MLB- Pittsburgh
24,Bailey,219,Any- KD #14
24,Bailey,320,Any- Snedeker
24,Bailey,439,Any- C. Suarez Navarro
24,Bailey,470,Any- Diamondbacks
25,Nelson,12,CFB- Florida State
25,Nelson,69,NFL- StL Rams
25,Nelson,150,CBB- Wichita St
25,Nelson,199,CHK- St Cloud St
25,Nelson,220,KD- Pick #15
25,Nelson,245,CL- PSG
25,Nelson,277,NHL- Edmonton
25,Nelson,289,NBA- Toronto Raptors
25,Nelson,336,PGA- Spieth
25,Nelson,363,SC- Pick #3
25,Nelson,388,LLWS- Pick #8
25,Nelson,398,M Ten- Andy Murray
25,Nelson,438,W Ten- Bencic
25,Nelson,490,_MLB- Houston Astros
25,Nelson,16,_Any- Houston CFB
25,Nelson,145,Any- VCU CBB
25,Nelson,141,_Any- Texas A&M CBB
25,Nelson,244,_Any- Olympiacos
25,Nelson,326,_Any- Dustin Johnson
25,Nelson,401,Any- Dominic Thiem
26,Teeter,17,CFB- Iowa
26,Teeter,55,NFL- Philadelphia
26,Teeter,147,CBB- Virginia
26,Teeter,160,CHK- Bowling Green
26,Teeter,208,KD- Pick #3
26,Teeter,224,CL- Arsenal
26,Teeter,275,NHL- Calgary Flames
26,Teeter,297,NBA- Miami Heat
26,Teeter,360,PGA- Zach Johnson
26,Teeter,368,SC- Pick #8
26,Teeter,396,LLWS- Pick #16
26,Teeter,428,M Ten- Wawrinka
26,Teeter,463,W Ten- Serena
26,Teeter,482,MLB- SF Giants
26,Teeter,143,_Any- Utah CBB
26,Teeter,209,Any- KD Pick #4
26,Teeter,213,Any- KD Pick #8
26,Teeter,282,Any- Dallas Stars
26,Teeter,279,Any-Vancouver Canucks
27,Mick/Jason,32,CFB- Notre Dame
27,Mick/Jason,81,NFL- Colts
27,Mick/Jason,152,CBB- Xavier
27,Mick/Jason,169,CHK- Ferris St
27,Mick/Jason,217,KD- Pick #12
27,Mick/Jason,247,CL- PSV Endhoven
27,Mick/Jason,498,NHL- NY Rangers
27,Mick/Jason,295,NBA- Atlanta Hawks
27,Mick/Jason,346,PGA- Patrick Reed
27,Mick/Jason,375,SC- Pick #15
27,Mick/Jason,386,LLWS- Pick #6
27,Mick/Jason,418,M Ten- Cilic
27,Mick/Jason,464,W Ten- Halep
27,Mick/Jason,493,MLB- Twins
27,Mick/Jason,35,Any- OK State CFB
27,Mick/Jason,76,Any- Cincy Bengals
27,Mick/Jason,98,Any- Duke CBB
27,Mick/Jason,249,Any- Roma
27,Mick/Jason,285,_Any- Boston Celtics
27,Mick/Jason,387,Any- LLWS #7
28,Tom,43,CFB- Temple
28,Tom,61,NFL- Minnesota Vikings
28,Tom,105,_CBB- Indiana
28,Tom,159,CHK- Boston U
28,Tom,222,KD- Pick #17
28,Tom,254,CL- Zenit St Pete
28,Tom,280,NHL- Anaheim
28,Tom,290,NBA- Chicago
28,Tom,337,PGA- Justin Rose
28,Tom,377,SC- Pick #17
28,Tom,390,LLWS- Pick #10
28,Tom,420,M Ten- Milos Raonic
28,Tom,443,W Ten- Makarova
28,Tom,492,MLB- LA Angels
28,Tom,170,Any- Harvard CHK
28,Tom,345,_Any- Matt Kuchar
28,Tom,421,Any- Nick Kyrgios
28,Tom,449,Any- Pliskova
28,Tom,497,_Any- Tampa Rays
